646,ep-280038,CCC1(C)CCOCC1
647,ep-253204,CCC1(OC)COCO1
648,ep-185965,COC1(C)CCOCO1
649,ep-244300,COC1CCC(C)(C)O1
650,ep-156892,COC1(C)CCOCC1
651,ep-170100,CCC1COCOC1C
652,ep-157009,CCC1CCOC(C)O1
653,ep-166615,CC(C)C1COCC1C
654,ep-196093,COC1(C)CCCOC1
655,ep-32628,COC1CCCCO1
656,ep-205271,CC1OCC(C)(C)CO1
657,ep-28123,CC1OC(C)C(C)O1
658,ep-205736,CC1COC(C)C(C)C1
659,ep-154924,COC1CCOCC1C
660,ep-205028,CC1OCOCC1(C)C
661,ep-27028,CCC1(C)OCCO1
662,ep-170064,CCC1(CC)CCOC1
663,ep-251559,COC1(C)OCOC1C
664,ep-29284,CC1COCOC1C
665,ep-171691,COCC1CCCOC1
666,ep-155023,CC1CCC(C(C)C)O1
667,ep-186754,CC(C)OC1CCOC1
668,ep-1827,CC1OCCO1
669,ep-267194,CC1OCOC(C)(C)O1
670,ep-166769,CCC(C)C1CCOC1
671,ep-32634,CCOC1CCCO1
672,ep-26591,CCC1(C)COCO1
673,ep-1739,C1CCOCC1
674,ep-156775,CCC1(OC)CCCC1
675,ep-157169,COC1CCC(OC)C1
676,ep-206745,CC1CC(C)C(C)(C)O1
677,ep-156890,CCC1(C)CCOCO1
678,ep-38602,CC1(C)COCOC1
679,ep-187481,CCC1OCC(C)CO1
680,ep-254384,COC1COC(OC)O1
681,ep-170226,CCC1CCOC1(C)C
682,ep-196955,CCOCC1CCCO1
683,ep-242868,COC1(C)CCC(C)C1
684,ep-251946,COC1CCCC1OC
685,ep-32586,CC(C)C1OCCO1
686,ep-253617,COCC1OCC(C)O1
687,ep-154751,CCC1OCCC1(C)C
688,ep-253525,CCC1COC(C)CO1
